Year,Attendance,Team Payroll
2019,68506896,3999827072
2018,69671272,3964096903
2017,72678797,3983892634
2016,73159044,3761011880
2015,73719340,3680887206
2014,73739622,3398869156
2013,74027037,3150727861
2012,74859268,2950092506
2011,73425667,2872256542
2010,73061763,2757480197
2009,73430580,2791645244
2008,78624315,2694090063
2007,79484718,2499198987
2006,76043902,2337874617
2005,74915268,2189013398
2004,73022972,2078657943
2003,67630052,2128862128
2002,67944389,2028877522
2001,72581101,1969086313
2000,71358907,1685767602
1999,70139380,1503589250
1998,70601147,1285345371
1997,63168689,1127440885
1996,60097381,958715050
1995,50469236,951698367
1994,50010016,928257287
1993,70257938,903115234
1992,55870466,803497323
1991,56813760,613253418
1990,54823768,460267193
1989,55173096,375490540
1988,52998904,319514557
1987,52011506,304799122
1986,47506203,309189518
1985,46824379,264965530
1984,44742863,
1983,45540338,
1982,44587874,
1981,26544376,
1980,43014136,
1979,43550398,
1978,40636886,
1977,38709779,
1976,31318331,
1975,29789913,
1974,30025608,
1973,30108926,
1972,26968268,
1971,29193417,
1970,28747333,
1969,27229666,
1968,23102745,
1967,24308353,
1966,25182209,
1965,22441900,
1964,21280341,
1963,20477074,
1962,21375215,
1961,18894518,
1960,19911489,
1959,19143979,
1958,17460630,
1957,17015819,
1956,16543250,
1955,16617383,
1954,15935883,
1953,14383797,
1952,14633044,
1951,16126676,
1950,17462977,
1949,20215365,
1948,20920842,
1947,19874539,
1946,18523289,
1945,10841123,
1944,8772746,
1943,7465911,
1942,8553569,
1941,9689603,
1940,9823484,
1939,8977779,2883241
1938,9006511,
1937,8940063,
1936,8082613,
1935,7345316,
1934,6963711,
1933,6089031,
1932,6974566,
1931,8467107,
1930,10132262,3034664
1929,9588183,2996138
1928,9102285,2926742
1927,9922868,2909330
1926,9832982,2783263
1925,9540555,2542925
1924,9596083,2380258
1923,8672406,2139899
1922,8816175,2009894
1921,8607312,1685874
1920,9120875,1541584
1919,6532439,
1918,3080126,
1917,5219994,
1916,6503519,1189829
1915,4864826,
1914,4454988,
1913,6358336,948591
1912,5999390,
1911,6571282,
1910,6206447,
1909,7236290,
1908,7123474,
1907,6038984,
1906,5719289,
1905,5855062,
1904,5688299,
1903,4735250,
1902,3889466,
1901,3603615,
1900,1829490,
1899,2541485,
1898,2372089,
1897,2886842,
1896,2900973,
1895,2889271,
1894,2427573,
1893,2224752,
1892,1822587,
1891,1332730,
1890,776042,
1889,,
1888,,
1887,,
1886,,
1885,,
1884,,
1883,,
1882,,
1881,,
1880,,
1879,,
1878,,
1877,,
1876,,
